Wall time,Step,Value
1579534795.014909,4800,-359.0216979980469
1579534795.5734987,6400,-125.10881042480469
1579534796.6656296,9600,-364.0201721191406
1579534796.6658404,9600,-905.8695068359375
1579534796.6661155,9600,-385.6996765136719
1579534797.766979,12800,-1029.8665771484375
1579534798.3253849,14400,-119.79629516601562
1579534798.8999348,16000,-945.138916015625
1579534800.044617,19200,-239.47535705566406
1579534801.1719596,22400,-376.9888000488281
1579534802.3162172,25600,-502.3025817871094
1579534804.5612607,32000,-385.547119140625
1579534804.5615532,32000,-457.08245849609375
1579534805.1182635,33600,-505.9169616699219
1579534806.2480423,36800,-371.5103759765625
1579534806.8056462,38400,-253.0777587890625
1579534809.5993218,46400,-770.9898681640625
1579534810.1568425,48000,-785.6648559570312
1579534811.2509613,51200,-734.04052734375
1579534811.251453,51200,-756.010986328125
1579534811.8063567,52800,-262.22308349609375
1579534812.3677778,54400,-657.845458984375
1579534812.9430745,56000,-262.0277099609375
1579534815.1868792,62400,-244.55587768554688
1579534815.1870842,62400,-497.8389892578125
1579534815.7407856,64000,-580.5099487304688
1579534817.4265466,68800,-237.913330078125
1579534817.974853,70400,-378.4510192871094
1579534819.0933552,73600,-246.4288330078125
1579534822.9912653,84800,-4.13935661315918
1579534822.9913476,84800,-4.190089702606201
1579534824.0972276,88000,-132.93109130859375
1579534824.6503851,89600,-397.40997314453125
1579534824.6506543,89600,-394.84527587890625
1579534825.7547777,92800,-126.5552749633789
1579534825.7550273,92800,-124.19456481933594
1579534826.3143911,94400,-249.50782775878906
1579534826.8708081,96000,-797.9544067382812
1579534827.9821737,99200,-131.63385009765625
1579534829.6517696,104000,-254.9544219970703
1579534830.7996402,107200,-137.55267333984375
1579534831.337518,108800,-257.4283752441406
1579534832.978406,113600,-366.4931945800781
1579534833.540668,115200,-257.5015563964844
1579534834.1068442,116800,-518.7639770507812
1579534834.6519902,118400,-918.3219604492188
1579534834.6520743,118400,-597.1224975585938
1579534836.8909016,124800,-128.59613037109375
1579534836.891085,124800,-127.45740509033203
1579534838.018148,128000,-131.79306030273438
1579534838.5834854,129600,-238.75221252441406
1579534838.583579,129600,-237.03424072265625
1579534838.5837615,129600,-237.12818908691406
1579534838.5840192,129600,-367.0408020019531
1579534839.126229,131200,-255.92686462402344
1579534839.6800246,132800,-406.6302795410156
1579534840.2254725,134400,-134.13555908203125
1579534843.7773273,144000,-248.41043090820312
1579534844.3660836,145600,-386.86810302734375
1579534844.9868803,147200,-1.3570917844772339
1579534845.5487888,148800,-134.44906616210938
1579534846.798828,152000,-0.8878088593482971
1579534846.7992136,152000,-0.8659101724624634
1579534847.3757765,153600,-3.206501007080078
1579534847.8885415,155200,-792.2059326171875
1579534847.8887196,155200,-936.7232666015625
1579534847.8888853,155200,-793.45361328125
1579534848.4983096,156800,-1022.3734130859375
1579534849.0431755,158400,-1204.5992431640625
1579534849.0433276,158400,-1204.8616943359375
1579534849.5696142,160000,-1162.61572265625
1579534849.5698166,160000,-1106.2427978515625
1579534849.570166,160000,-1147.1370849609375
1579534850.1138654,161600,-1008.1649169921875
1579534850.7366931,163200,-1317.964599609375
1579534850.7368183,163200,-1307.431640625
1579534852.384089,168000,-1077.2435302734375
1579534852.38447,168000,-1067.302978515625
1579534854.9925654,174400,-1196.0587158203125
1579534855.6823454,176000,-1259.3792724609375
1579534856.294066,177600,-1054.7603759765625
1579534857.581386,180800,-1160.973388671875
1579534857.581691,180800,-1156.1585693359375
1579534858.0880017,182400,-1067.8658447265625
1579534858.0881395,182400,-1064.214111328125
1579534858.6509588,184000,-1044.1300048828125
1579534859.8490667,187200,-1196.5406494140625
1579534859.849159,187200,-1185.4586181640625
1579534860.4410415,188800,-1521.57080078125
1579534861.0822663,190400,-9.59632396697998
1579534861.7067447,192000,-1207.6436767578125
1579534862.2028172,193600,-1087.6717529296875
