Wall time,Step,Value
1579532183.5825715,4800,-1237.6405029296875
1579532184.1341405,6400,-814.4251098632812
1579532185.2526844,9600,-1469.49169921875
1579532185.2528753,9600,-1416.7774658203125
1579532185.25312,9600,-1492.2313232421875
1579532186.3808463,12800,-979.4208374023438
1579532186.9408891,14400,-1552.9676513671875
1579532187.5021758,16000,-1280.9942626953125
1579532188.6293266,19200,-1181.0355224609375
1579532189.7442758,22400,-1738.923583984375
1579532190.8764915,25600,-1013.6066284179688
1579532193.1305087,32000,-1066.3992919921875
1579532193.1307611,32000,-1140.6947021484375
1579532193.6955125,33600,-1113.8370361328125
1579532194.8067088,36800,-1421.2442626953125
1579532195.368683,38400,-1454.365478515625
1579532198.1890326,46400,-1292.2177734375
1579532198.7513835,48000,-1820.3446044921875
1579532199.8481088,51200,-1696.8773193359375
1579532199.8485873,51200,-1734.8668212890625
1579532200.4202096,52800,-1650.57958984375
1579532200.9862213,54400,-1644.3428955078125
1579532201.5506656,56000,-1680.257568359375
1579532203.7729802,62400,-1557.1761474609375
1579532203.7731595,62400,-1581.7147216796875
1579532204.344086,64000,-1686.282470703125
1579532206.009859,68800,-1810.3936767578125
1579532206.5647345,70400,-1621.99755859375
1579532207.6784635,73600,-1655.701416015625
1579532211.5808358,84800,-1677.5909423828125
1579532211.580929,84800,-1403.3892822265625
1579532212.697044,88000,-1336.912353515625
1579532213.251068,89600,-1440.6806640625
1579532213.251306,89600,-1484.1873779296875
1579532214.3710098,92800,-1289.5286865234375
1579532214.3713524,92800,-1375.5262451171875
1579532214.9378405,94400,-1313.5400390625
1579532215.5122273,96000,-1088.169677734375
1579532216.6449366,99200,-1481.044189453125
1579532218.3282712,104000,-1095.3775634765625
1579532219.4513543,107200,-908.1688842773438
1579532220.012422,108800,-912.7974853515625
1579532221.6853395,113600,-1116.5186767578125
1579532222.2399025,115200,-1198.62109375
1579532222.7979302,116800,-869.7327270507812
1579532223.34383,118400,-804.9689331054688
1579532223.3439205,118400,-928.6702880859375
1579532225.5611675,124800,-1517.802001953125
1579532225.5613437,124800,-1386.4952392578125
1579532226.6508238,128000,-1302.668212890625
1579532227.210258,129600,-1299.04638671875
1579532227.2103457,129600,-1339.706787109375
1579532227.2105114,129600,-1275.99072265625
1579532227.2107563,129600,-1320.1573486328125
1579532227.761217,131200,-1302.773193359375
1579532228.3220248,132800,-1350.3785400390625
1579532228.8780637,134400,-1308.10498046875
1579532232.21678,144000,-1379.8038330078125
1579532232.7820575,145600,-1388.8514404296875
1579532233.335056,147200,-1153.693115234375
1579532233.8867054,148800,-1137.421875
1579532235.0105932,152000,-1211.5252685546875
1579532235.0110807,152000,-1237.5419921875
1579532235.5744765,153600,-1266.7857666015625
1579532236.1039414,155200,-1207.8455810546875
1579532236.1041124,155200,-1197.1905517578125
1579532236.1042728,155200,-1199.4437255859375
1579532236.6789553,156800,-1128.6722412109375
1579532237.226021,158400,-1076.4639892578125
1579532237.2262044,158400,-1017.1085205078125
1579532237.786434,160000,-1234.3372802734375
1579532237.7866626,160000,-1081.532470703125
1579532237.7870448,160000,-1054.259765625
1579532238.3410168,161600,-1623.32568359375
1579532238.8931801,163200,-773.416259765625
1579532238.8933115,163200,-1047.190673828125
1579532240.5562694,168000,-1171.6099853515625
1579532240.5566134,168000,-916.2284545898438
1579532242.7624636,174400,-1485.7945556640625
1579532243.3464656,176000,-1460.2784423828125
1579532243.9040694,177600,-1487.1214599609375
1579532245.0255682,180800,-1479.7633056640625
1579532245.0259638,180800,-1488.9027099609375
1579532245.5841515,182400,-1528.1842041015625
1579532245.5843415,182400,-1533.291748046875
1579532246.119204,184000,-1441.20068359375
1579532247.2294152,187200,-1594.272705078125
1579532247.2295022,187200,-1608.7115478515625
1579532247.7843046,188800,-1531.0833740234375
1579532248.3630035,190400,-1498.409423828125
